Source,Target,Value
"""Day, Martyn""","""Department for Transport""",4
"""Day, Martyn""","""Department for Work and Pensions""",7
"""Day, Martyn""","""Department of Energy and Climate Change""",4
"""Day, Martyn""","""Department of Health""",3
"""Day, Martyn""","""Foreign and Commonwealth Office""",16
"""Day, Martyn""","""Home Office""",5
"""Day, Martyn""","""Ministry of Defence""",8
"""Day, Martyn""","""Ministry of Justice""",2
"""Day, Martyn""","""Scotland Office""",6
"""Day, Martyn""","""Treasury""",13
"""De Piero, Gloria""","""Cabinet Office""",12
"""De Piero, Gloria""","""Cabinet Office; UK Statistics Authority""",8
"""De Piero, Gloria""","""Communities and Local Government""",12
"""De Piero, Gloria""","""Department for Business, Innovation and Skills""",17
"""De Piero, Gloria""","""Department for Culture, Media and Sport""",7
"""De Piero, Gloria""","""Department for Education""",23
"""De Piero, Gloria""","""Department for Transport""",1
"""De Piero, Gloria""","""Department for Work and Pensions""",7
"""De Piero, Gloria""","""Department of Energy and Climate Change""",2
"""De Piero, Gloria""","""Department of Health""",18
"""De Piero, Gloria""","""Foreign and Commonwealth Office""",1
"""De Piero, Gloria""","""Home Office""",2
"""De Piero, Gloria""","""Minister for Women and Equalities""",2
"""De Piero, Gloria""","""Ministry of Justice""",3
"""De Piero, Gloria""","""Treasury""",1
"""Debbonaire, Thangam""","""Communities and Local Government""",4
"""Debbonaire, Thangam""","""Department for Business, Innovation and Skills""",5
"""Debbonaire, Thangam""","""Department for Culture, Media and Sport""",2
"""Debbonaire, Thangam""","""Department for Education""",1
"""Debbonaire, Thangam""","""Department for Environment, Food and Rural Affairs""",4
"""Debbonaire, Thangam""","""Department for International Development""",4
"""Debbonaire, Thangam""","""Department for Work and Pensions""",4
"""Debbonaire, Thangam""","""Department of Energy and Climate Change""",10
"""Debbonaire, Thangam""","""Department of Health""",2
"""Debbonaire, Thangam""","""Foreign and Commonwealth Office""",5
"""Debbonaire, Thangam""","""Home Office""",20
"""Debbonaire, Thangam""","""Leader of the House of Commons""",1
"""Debbonaire, Thangam""","""Ministry of Justice""",3
"""Debbonaire, Thangam""","""Northern Ireland Office""",3
"""Debbonaire, Thangam""","""Treasury""",2
"""Djanogly, Jonathan""","""Department of Health""",2
"""Djanogly, Jonathan""","""Ministry of Justice""",1
"""Docherty-Hughes, Martin""","""Cabinet Office""",2
"""Docherty-Hughes, Martin""","""Ministry of Defence""",5
"""Dodds, Nigel""","""Cabinet Office""",2
"""Dodds, Nigel""","""Department for Business, Innovation and Skills""",2
"""Dodds, Nigel""","""Department for Culture, Media and Sport""",3
"""Dodds, Nigel""","""Department for Environment, Food and Rural Affairs""",5
"""Dodds, Nigel""","""Department for International Development""",2
"""Dodds, Nigel""","""Department for Transport""",2
"""Dodds, Nigel""","""Department for Work and Pensions""",2
"""Dodds, Nigel""","""Department of Energy and Climate Change""",3
"""Dodds, Nigel""","""Department of Health""",8
"""Dodds, Nigel""","""Foreign and Commonwealth Office""",8
"""Dodds, Nigel""","""Home Office""",7
"""Dodds, Nigel""","""Northern Ireland Office""",11
"""Dodds, Nigel""","""Treasury""",5
"""Donaldson, Jeffrey M""","""Ministry of Defence""",6
"""Donaldson, Jeffrey M""","""Northern Ireland Office""",2
"""Donaldson, Stuart Blair""","""Attorney General""",1
"""Donaldson, Stuart Blair""","""Cabinet Office""",1
"""Donaldson, Stuart Blair""","""Communities and Local Government""",2
"""Donaldson, Stuart Blair""","""Department for Business, Innovation and Skills""",7
"""Donaldson, Stuart Blair""","""Department for Culture, Media and Sport""",2
"""Donaldson, Stuart Blair""","""Department for Education""",1
"""Donaldson, Stuart Blair""","""Department for Environment, Food and Rural Affairs""",1
"""Donaldson, Stuart Blair""","""Department for International Development""",1
"""Donaldson, Stuart Blair""","""Department for Transport""",1
"""Donaldson, Stuart Blair""","""Department for Work and Pensions""",6
"""Donaldson, Stuart Blair""","""Department of Energy and Climate Change""",2
"""Donaldson, Stuart Blair""","""Department of Health""",1
"""Donaldson, Stuart Blair""","""Foreign and Commonwealth Office""",1
"""Donaldson, Stuart Blair""","""Home Office""",2
"""Donaldson, Stuart Blair""","""Minister for Women and Equalities""",1
"""Donaldson, Stuart Blair""","""Ministry of Defence""",1
"""Donaldson, Stuart Blair""","""Ministry of Justice""",2
"""Donaldson, Stuart Blair""","""Treasury""",2
"""Donaldson, Stuart Blair""","""Wales Office""",1
"""Donelan, Michelle""","""Cabinet Office""",1
"""Donelan, Michelle""","""Communities and Local Government""",3
"""Donelan, Michelle""","""Department for Business, Innovation and Skills""",2
"""Donelan, Michelle""","""Department for Education""",1
"""Donelan, Michelle""","""Department for Environment, Food and Rural Affairs""",1
"""Donelan, Michelle""","""Department for International Development""",1
"""Donelan, Michelle""","""Department for Transport""",1
"""Donelan, Michelle""","""Department for Work and Pensions""",6
"""Donelan, Michelle""","""Department of Energy and Climate Change""",7
"""Donelan, Michelle""","""Department of Health""",7
"""Donelan, Michelle""","""Foreign and Commonwealth Office""",3
"""Donelan, Michelle""","""Home Office""",1
"""Donelan, Michelle""","""Ministry of Justice""",1
"""Donelan, Michelle""","""Treasury""",1
"""Dorries, Nadine""","""Cabinet Office; UK Statistics Authority""",1
"""Dorries, Nadine""","""Department for Transport""",9
"""Double, Steve""","""Foreign and Commonwealth Office""",1
"""Doughty, Stephen""","""Attorney General""",1
"""Doughty, Stephen""","""Cabinet Office""",1
"""Doughty, Stephen""","""Department for Business, Innovation and Skills""",12
"""Doughty, Stephen""","""Department for Culture, Media and Sport""",2
"""Doughty, Stephen""","""Department for International Development""",13
"""Doughty, Stephen""","""Department for Transport""",5
"""Doughty, Stephen""","""Department for Work and Pensions""",7
"""Doughty, Stephen""","""Department of Energy and Climate Change""",2
"""Doughty, Stephen""","""Department of Health""",1
"""Doughty, Stephen""","""Foreign and Commonwealth Office""",22
"""Doughty, Stephen""","""Home Office""",20
"""Doughty, Stephen""","""Ministry of Defence""",19
"""Doughty, Stephen""","""Prime Minister""",2
"""Doughty, Stephen""","""Treasury""",19
"""Dowd, Jim""","""Department for Business, Innovation and Skills""",3
"""Dowd, Jim""","""Department for Environment, Food and Rural Affairs""",2
"""Dowd, Jim""","""Department for Transport""",1
"""Dowd, Peter""","""Department for Business, Innovation and Skills""",3
"""Dowd, Peter""","""Department for Education""",3
"""Dowd, Peter""","""Department for Transport""",1
"""Dowd, Peter""","""Department for Work and Pensions""",1
"""Dowd, Peter""","""Department of Health""",2
"""Dowd, Peter""","""Treasury""",1
"""Dowden, Oliver""","""Communities and Local Government""",10
"""Dowden, Oliver""","""Department for Business, Innovation and Skills""",4
"""Dowden, Oliver""","""Department for Transport""",6
"""Dowden, Oliver""","""Department of Health""",4
"""Dowden, Oliver""","""Foreign and Commonwealth Office""",1
"""Drax, Richard""","""Department for Culture, Media and Sport""",1
"""Drax, Richard""","""Department of Energy and Climate Change""",1
"""Drax, Richard""","""Treasury""",1
"""Dromey, Jack""","""Department for Culture, Media and Sport""",1
"""Dromey, Jack""","""Department for Environment, Food and Rural Affairs""",1
"""Dromey, Jack""","""Home Office""",21
"""Drummond, Flick""","""Department for Education""",4
"""Drummond, Flick""","""Department for Environment, Food and Rural Affairs""",1
"""Drummond, Flick""","""Department for Work and Pensions""",3
"""Drummond, Flick""","""Department of Health""",4
"""Drummond, Flick""","""Ministry of Defence""",6
"""Drummond, Flick""","""Ministry of Justice""",1
"""Dugher, Michael""","""Cabinet Office; UK Statistics Authority""",5
"""Dugher, Michael""","""Communities and Local Government""",2
"""Dugher, Michael""","""Department for Business, Innovation and Skills""",2
"""Dugher, Michael""","""Department for Culture, Media and Sport""",1
"""Dugher, Michael""","""Department for Education""",3
"""Dugher, Michael""","""Department for Environment, Food and Rural Affairs""",6
"""Dugher, Michael""","""Department for Transport""",1
"""Dugher, Michael""","""Department for Work and Pensions""",6
"""Dugher, Michael""","""Department of Energy and Climate Change""",6
"""Dugher, Michael""","""Department of Health""",7
"""Dugher, Michael""","""Foreign and Commonwealth Office""",2
"""Dugher, Michael""","""Home Office""",4
"""Dugher, Michael""","""Ministry of Defence""",2
"""Dugher, Michael""","""Treasury""",2
"""Duncan, Alan""","""Cabinet Office""",4
"""Duncan, Alan""","""Department for Culture, Media and Sport""",1
"""Duncan, Alan""","""Department of Health""",4
"""Durkan, Mark""","""Department for Business, Innovation and Skills""",3
"""Durkan, Mark""","""Department for Environment, Food and Rural Affairs""",4
"""Durkan, Mark""","""Department for International Development""",3
"""Durkan, Mark""","""Department for Work and Pensions""",1
"""Durkan, Mark""","""Department of Health""",22
"""Durkan, Mark""","""Foreign and Commonwealth Office""",13
"""Durkan, Mark""","""Northern Ireland Office""",2
"""Eagle, Angela""","""Cabinet Office""",2
"""Eagle, Angela""","""Department for Business, Innovation and Skills""",22
"""Eagle, Angela""","""Department for Environment, Food and Rural Affairs""",1
"""Eagle, Angela""","""Department for Work and Pensions""",11
"""Eagle, Angela""","""Home Office""",1
"""Eagle, Maria""","""Cabinet Office""",5
"""Eagle, Maria""","""Communities and Local Government""",1
"""Eagle, Maria""","""Department for Business, Innovation and Skills""",7
"""Eagle, Maria""","""Department for Culture, Media and Sport""",54
"""Eagle, Maria""","""Department for Education""",9
"""Eagle, Maria""","""Department for Environment, Food and Rural Affairs""",49
"""Eagle, Maria""","""Department for Transport""",1
"""Eagle, Maria""","""Department of Health""",2
"""Eagle, Maria""","""Foreign and Commonwealth Office""",2
"""Eagle, Maria""","""Home Office""",2
"""Eagle, Maria""","""Ministry of Defence""",132
"""Eagle, Maria""","""Treasury""",3
"""Edwards, Jonathan""","""Cabinet Office""",1
"""Edwards, Jonathan""","""Department for Business, Innovation and Skills""",1
"""Edwards, Jonathan""","""Department for Culture, Media and Sport""",4
"""Edwards, Jonathan""","""Department for Environment, Food and Rural Affairs""",3
"""Edwards, Jonathan""","""Department for Transport""",13
"""Edwards, Jonathan""","""Department for Work and Pensions""",1
"""Edwards, Jonathan""","""Department of Energy and Climate Change""",5
"""Edwards, Jonathan""","""Department of Health""",2
"""Edwards, Jonathan""","""Home Office""",1
"""Edwards, Jonathan""","""Ministry of Justice""",2
"""Edwards, Jonathan""","""Prime Minister""",1
"""Edwards, Jonathan""","""Treasury""",11
"""Edwards, Jonathan""","""Wales Office""",9
"""Edwards, Jonathan; Hollinrake, Kevin""","""Department for Business, Innovation and Skills""",1
"""Edwards, Jonathan; Hollinrake, Kevin""","""Wales Office""",1
"""Efford, Clive""","""Attorney General""",3
"""Efford, Clive""","""Communities and Local Government""",1
"""Efford, Clive""","""Department for Culture, Media and Sport""",7
"""Efford, Clive""","""Department for International Development""",2
"""Efford, Clive""","""Department for Transport""",9
"""Efford, Clive""","""Department of Health""",4
"""Efford, Clive""","""Foreign and Commonwealth Office""",4
"""Efford, Clive""","""Home Office""",2
"""Efford, Clive""","""Treasury""",6
"""Elliott, Julie""","""Department for Business, Innovation and Skills""",3
"""Elliott, Julie""","""Department for Education""",3
"""Elliott, Julie""","""Department for International Development""",1
"""Elliott, Julie""","""Department for Transport""",3
"""Elliott, Julie""","""Department of Energy and Climate Change""",10
"""Elliott, Julie""","""Department of Health""",1
"""Elliott, Tom""","""Communities and Local Government""",1
"""Elliott, Tom""","""Department for Business, Innovation and Skills""",2
"""Elliott, Tom""","""Department for Environment, Food and Rural Affairs""",2
"""Elliott, Tom""","""Department for International Development""",2
"""Elliott, Tom""","""Department for Transport""",1
"""Elliott, Tom""","""Department for Work and Pensions""",1
"""Elliott, Tom""","""Department of Energy and Climate Change""",4
"""Elliott, Tom""","""Department of Health""",1
"""Elliott, Tom""","""Foreign and Commonwealth Office""",8
"""Elliott, Tom""","""Home Office""",4
"""Elliott, Tom""","""Ministry of Defence""",2
"""Elliott, Tom""","""Northern Ireland Office""",4
"""Elliott, Tom""","""Scotland Office""",2
"""Elliott, Tom""","""Treasury""",15
"""Elliott, Tom""","""Wales Office""",1
"""Ellman, Louise""","""Attorney General""",2
"""Ellman, Louise""","""Department for Business, Innovation and Skills""",8
"""Ellman, Louise""","""Department for Culture, Media and Sport""",1
"""Ellman, Louise""","""Department for Education""",2
"""Ellman, Louise""","""Department for International Development""",2
"""Ellman, Louise""","""Department for Transport""",9
"""Ellman, Louise""","""Department for Work and Pensions""",1
"""Ellman, Louise""","""Department of Energy and Climate Change""",2
"""Ellman, Louise""","""Department of Health""",3
"""Ellman, Louise""","""Foreign and Commonwealth Office""",7
"""Ellman, Louise""","""Home Office""",3
"""Ellman, Louise""","""Ministry of Justice""",2
"""Ellman, Louise""","""Treasury""",3
"""Esterson, Bill""","""Cabinet Office""",1
"""Esterson, Bill""","""Communities and Local Government""",1
"""Esterson, Bill""","""Department for Business, Innovation and Skills""",19
"""Esterson, Bill""","""Department for Environment, Food and Rural Affairs""",1
"""Esterson, Bill""","""Department for Transport""",1
"""Esterson, Bill""","""Department for Work and Pensions""",2
"""Esterson, Bill""","""Department of Energy and Climate Change""",1
"""Esterson, Bill""","""Department of Health""",2
"""Esterson, Bill""","""Ministry of Justice""",4
"""Esterson, Bill""","""Treasury""",2
"""Evans, Chris""","""Department for Environment, Food and Rural Affairs""",9
"""Evans, Chris""","""Department for International Development""",1
"""Evans, Chris""","""Department for Transport""",1
"""Evans, Chris""","""Department for Work and Pensions""",15
"""Evans, Chris""","""Home Office""",2
"""Evans, Chris""","""Ministry of Defence""",3
"""Evans, Chris""","""Ministry of Justice""",1
"""Evans, Graham""","""Communities and Local Government""",4
"""Evans, Graham""","""Department for Culture, Media and Sport""",1
"""Evans, Graham""","""Department for Education""",1
"""Evans, Graham""","""Department for Transport""",2
"""Evans, Graham""","""Northern Ireland Office""",1
"""Evans, Nigel""","""Cabinet Office; UK Statistics Authority""",1
"""Evans, Nigel""","""Communities and Local Government""",5
"""Evans, Nigel""","""Department for Business, Innovation and Skills""",3
"""Evans, Nigel""","""Department for Culture, Media and Sport""",3
"""Evans, Nigel""","""Department for Education""",3
"""Evans, Nigel""","""Department for Environment, Food and Rural Affairs""",5
"""Evans, Nigel""","""Department for Transport""",2
"""Evans, Nigel""","""Department for Work and Pensions""",6
"""Evans, Nigel""","""Department of Energy and Climate Change""",2
"""Evans, Nigel""","""Department of Health""",7
"""Evans, Nigel""","""Foreign and Commonwealth Office""",12
"""Evans, Nigel""","""Home Office""",6
"""Evans, Nigel""","""Ministry of Defence""",5
"""Evans, Nigel""","""Ministry of Justice""",3
"""Fabricant, Michael""","""Department for Business, Innovation and Skills""",1
"""Fabricant, Michael""","""Department for International Development""",1
"""Fabricant, Michael""","""Department for Transport""",1
"""Fabricant, Michael""","""Department of Energy and Climate Change""",1
"""Fabricant, Michael""","""Department of Health""",5
"""Fabricant, Michael""","""Foreign and Commonwealth Office""",7
"""Fabricant, Michael""","""Ministry of Justice""",1
"""Fabricant, Michael""","""Treasury""",5
"""Fabricant, Michael""","""Wales Office""",1
"""Farrelly, Paul""","""Department for Culture, Media and Sport""",2
"""Farrelly, Paul""","""Ministry of Justice""",1
"""Farron, Tim""","""Cabinet Office""",2
"""Farron, Tim""","""Cabinet Office; UK Statistics Authority""",1
"""Farron, Tim""","""Communities and Local Government""",8
"""Farron, Tim""","""Department for Business, Innovation and Skills""",1
"""Farron, Tim""","""Department for Education""",2
"""Farron, Tim""","""Department for Environment, Food and Rural Affairs""",1
"""Farron, Tim""","""Department for Transport""",3
"""Farron, Tim""","""Department of Health""",1
"""Farron, Tim""","""Foreign and Commonwealth Office""",3
"""Farron, Tim""","""Home Office""",16
"""Farron, Tim""","""Ministry of Defence""",13
"""Farron, Tim""","""Ministry of Justice""",5
"""Farron, Tim""","""Prime Minister""",1
"""Farron, Tim""","""Treasury""",1
"""Fellows, Marion""","""Department for Business, Innovation and Skills""",1
"""Fellows, Marion""","""Department for Work and Pensions""",1
"""Fellows, Marion""","""Home Office""",1
"""Fellows, Marion""","""Treasury""",1
"""Fernandes, Suella""","""Department for Education""",1
"""Fernandes, Suella""","""Department for International Development""",1
"""Fernandes, Suella""","""Home Office""",2
"""Fernandes, Suella""","""Ministry of Defence""",1
"""Fernandes, Suella""","""Ministry of Justice""",1
"""Ferrier, Margaret""","""Attorney General""",1
"""Ferrier, Margaret""","""Cabinet Office""",5
"""Ferrier, Margaret""","""Communities and Local Government""",1
"""Ferrier, Margaret""","""Department for Business, Innovation and Skills""",4
"""Ferrier, Margaret""","""Department for Culture, Media and Sport""",4
"""Ferrier, Margaret""","""Department for Education""",5
"""Ferrier, Margaret""","""Department for Environment, Food and Rural Affairs""",1
"""Ferrier, Margaret""","""Department for International Development""",2
"""Ferrier, Margaret""","""Department for Transport""",4
"""Ferrier, Margaret""","""Department for Work and Pensions""",4
"""Ferrier, Margaret""","""Department of Energy and Climate Change""",2
"""Ferrier, Margaret""","""Department of Health""",2
"""Ferrier, Margaret""","""Foreign and Commonwealth Office""",2
"""Ferrier, Margaret""","""Home Office""",7
"""Ferrier, Margaret""","""Minister for Women and Equalities""",4
"""Ferrier, Margaret""","""Ministry of Defence""",12
"""Ferrier, Margaret""","""Ministry of Justice""",5
"""Ferrier, Margaret""","""Northern Ireland Office""",4
"""Ferrier, Margaret""","""Prime Minister""",3
"""Ferrier, Margaret""","""Scotland Office""",46
"""Ferrier, Margaret""","""Speaker's Committee on the Electoral Commission""",1
"""Ferrier, Margaret""","""Treasury""",7
"""Ferrier, Margaret""","""Wales Office""",5
"""Field, Frank""","""Attorney General""",2
"""Field, Frank""","""Cabinet Office""",3
"""Field, Frank""","""Cabinet Office; UK Statistics Authority""",1
"""Field, Frank""","""Church Commissioners""",3
"""Field, Frank""","""Communities and Local Government""",14
"""Field, Frank""","""Department for Business, Innovation and Skills""",6
"""Field, Frank""","""Department for Culture, Media and Sport""",4
"""Field, Frank""","""Department for Education""",24
"""Field, Frank""","""Department for Environment, Food and Rural Affairs""",4
"""Field, Frank""","""Department for International Development""",2
"""Field, Frank""","""Department for Transport""",3
"""Field, Frank""","""Department for Work and Pensions""",83
"""Field, Frank""","""Department of Energy and Climate Change""",5
"""Field, Frank""","""Department of Health""",25
"""Field, Frank""","""Foreign and Commonwealth Office""",6
"""Field, Frank""","""Home Office""",14
"""Field, Frank""","""House of Commons Commission""",3
"""Field, Frank""","""Ministry of Defence""",1
"""Field, Frank""","""Ministry of Justice""",9
"""Field, Frank""","""Northern Ireland Office""",1
"""Field, Frank""","""Prime Minister""",2
"""Field, Frank""","""Scotland Office""",1
"""Field, Frank""","""Treasury""",43
"""Field, Frank""","""Wales Office""",1
"""Field, Mark""","""Attorney General""",1
"""Field, Mark""","""Department of Health""",1
"""Field, Mark""","""Home Office""",6
"""Field, Mark""","""Ministry of Justice""",2
"""Fitzpatrick, Jim""","""Attorney General""",1
"""Fitzpatrick, Jim""","""Cabinet Office""",1
"""Fitzpatrick, Jim""","""Communities and Local Government""",7
"""Fitzpatrick, Jim""","""Department for Business, Innovation and Skills""",4
"""Fitzpatrick, Jim""","""Department for Education""",6
"""Fitzpatrick, Jim""","""Department for Environment, Food and Rural Affairs""",24
"""Fitzpatrick, Jim""","""Department for International Development""",1
"""Fitzpatrick, Jim""","""Department for Transport""",27
"""Fitzpatrick, Jim""","""Department for Work and Pensions""",7
"""Fitzpatrick, Jim""","""Department of Energy and Climate Change""",1
"""Fitzpatrick, Jim""","""Department of Health""",15
"""Fitzpatrick, Jim""","""Foreign and Commonwealth Office""",2
"""Fitzpatrick, Jim""","""Home Office""",5
"""Fitzpatrick, Jim""","""Ministry of Justice""",1
"""Fitzpatrick, Jim""","""Speaker's Committee on the Electoral Commission""",2
"""Fitzpatrick, Jim""","""Treasury""",1
"""Flello, Robert""","""Department for Business, Innovation and Skills""",3
"""Flello, Robert""","""Department for Education""",3
"""Flello, Robert""","""Department for Environment, Food and Rural Affairs""",3
"""Flello, Robert""","""Department for International Development""",5
"""Flello, Robert""","""Department for Transport""",15
"""Flello, Robert""","""Department of Health""",15
"""Flello, Robert""","""Foreign and Commonwealth Office""",14
"""Flello, Robert""","""Home Office""",4
"""Flello, Robert""","""Ministry of Justice""",1
"""Flello, Robert""","""Treasury""",1
"""Fletcher, Colleen""","""Cabinet Office""",1
"""Fletcher, Colleen""","""Communities and Local Government""",7
"""Fletcher, Colleen""","""Department for Business, Innovation and Skills""",1
"""Fletcher, Colleen""","""Department for Culture, Media and Sport""",1
"""Fletcher, Colleen""","""Department for Education""",4
"""Fletcher, Colleen""","""Department for International Development""",2
"""Fletcher, Colleen""","""Department for Transport""",1
"""Fletcher, Colleen""","""Department of Energy and Climate Change""",1
"""Fletcher, Colleen""","""Department of Health""",20
"""Fletcher, Colleen""","""Home Office""",8
"""Fletcher, Colleen""","""Ministry of Defence""",1
"""Fletcher, Colleen""","""Ministry of Justice""",8
"""Fletcher, Colleen""","""Treasury""",3
"""Flint, Caroline""","""Communities and Local Government""",1
"""Flint, Caroline""","""Department for Business, Innovation and Skills""",1
"""Flint, Caroline""","""Department for Education""",1
"""Flint, Caroline""","""Department for Environment, Food and Rural Affairs""",1
"""Flint, Caroline""","""Department for Transport""",1
"""Flint, Caroline""","""Department for Work and Pensions""",3
"""Flint, Caroline""","""Department of Energy and Climate Change""",11
"""Flint, Caroline""","""Department of Health""",3
"""Flint, Caroline""","""Home Office""",5
"""Flint, Caroline""","""Ministry of Defence""",2
"""Flint, Caroline""","""Ministry of Justice""",1
"""Flint, Caroline""","""Treasury""",6
"""Flynn, Paul""","""Attorney General""",3
"""Flynn, Paul""","""Cabinet Office""",13
"""Flynn, Paul""","""Cabinet Office; UK Statistics Authority""",3
"""Flynn, Paul""","""Communities and Local Government""",8
"""Flynn, Paul""","""Department for Business, Innovation and Skills""",19
"""Flynn, Paul""","""Department for Culture, Media and Sport""",4
"""Flynn, Paul""","""Department for Education""",2
"""Flynn, Paul""","""Department for Environment, Food and Rural Affairs""",30
"""Flynn, Paul""","""Department for International Development""",3
"""Flynn, Paul""","""Department for Transport""",14
"""Flynn, Paul""","""Department for Work and Pensions""",12
"""Flynn, Paul""","""Department of Energy and Climate Change""",85
"""Flynn, Paul""","""Department of Health""",30
"""Flynn, Paul""","""Foreign and Commonwealth Office""",50
"""Flynn, Paul""","""Home Office""",28
"""Flynn, Paul""","""Leader of the House of Commons""",2
"""Flynn, Paul""","""Ministry of Defence""",72
"""Flynn, Paul""","""Ministry of Justice""",29
"""Flynn, Paul""","""Prime Minister""",23
"""Flynn, Paul""","""Scotland Office""",1
"""Flynn, Paul""","""Treasury""",40
"""Flynn, Paul""","""Wales Office""",3
"""Foster, Kevin""","""Department for Culture, Media and Sport""",2
"""Foster, Kevin""","""Department for Education""",1
"""Foster, Kevin""","""Department for Transport""",2
"""Foster, Kevin""","""Department for Work and Pensions""",3
"""Foster, Kevin""","""Department of Health""",1
"""Fovargue, Yvonne""","""Department for Business, Innovation and Skills""",2
"""Fovargue, Yvonne""","""Department for Transport""",1
"""Fovargue, Yvonne""","""Home Office""",2
"""Fovargue, Yvonne""","""Scotland Office""",1
"""Fovargue, Yvonne""","""Treasury""",4
"""Fox, Liam""","""Communities and Local Government""",4
"""Fox, Liam""","""Department for Culture, Media and Sport""",1
"""Fox, Liam""","""Department for Environment, Food and Rural Affairs""",5
"""Fox, Liam""","""Department for Work and Pensions""",2
"""Fox, Liam""","""Department of Energy and Climate Change""",2
"""Fox, Liam""","""Department of Health""",4
"""Fox, Liam""","""Ministry of Defence""",3
"""Foxcroft, Vicky""","""Cabinet Office""",5
"""Foxcroft, Vicky""","""Cabinet Office; UK Statistics Authority""",1
"""Foxcroft, Vicky""","""Communities and Local Government""",12
"""Foxcroft, Vicky""","""Department for Business, Innovation and Skills""",1
"""Foxcroft, Vicky""","""Department for Culture, Media and Sport""",4
"""Foxcroft, Vicky""","""Department for Education""",3
"""Foxcroft, Vicky""","""Department for Environment, Food and Rural Affairs""",1
"""Foxcroft, Vicky""","""Department for International Development""",2
"""Foxcroft, Vicky""","""Department for Transport""",1
"""Foxcroft, Vicky""","""Department for Work and Pensions""",13
"""Foxcroft, Vicky""","""Department of Energy and Climate Change""",5
"""Foxcroft, Vicky""","""Department of Health""",8
"""Foxcroft, Vicky""","""Foreign and Commonwealth Office""",4
"""Foxcroft, Vicky""","""Home Office""",9
"""Foxcroft, Vicky""","""Minister for Women and Equalities""",1
"""Foxcroft, Vicky""","""Ministry of Defence""",1
"""Foxcroft, Vicky""","""Ministry of Justice""",4
"""Foxcroft, Vicky""","""Treasury""",4
"""Frazer, Lucy""","""Department for Business, Innovation and Skills""",3
"""Frazer, Lucy""","""Department for Culture, Media and Sport""",2
"""Frazer, Lucy""","""Department for Education""",1
"""Frazer, Lucy""","""Department for International Development""",1
"""Frazer, Lucy""","""Department of Health""",1
"""Freer, Mike""","""Communities and Local Government""",1
"""Freer, Mike""","""Department for Business, Innovation and Skills""",1
"""Freer, Mike""","""Department for International Development""",9
"""Freer, Mike""","""Department for Transport""",1
"""Freer, Mike""","""Department of Health""",9
"""Freer, Mike""","""Treasury""",1
"""Fuller, Richard""","""Attorney General""",1
"""Fuller, Richard""","""Cabinet Office""",1
"""Fuller, Richard""","""Communities and Local Government""",4
"""Fuller, Richard""","""Department for Business, Innovation and Skills""",1
"""Fuller, Richard""","""Department for Culture, Media and Sport""",1
"""Fuller, Richard""","""Department for Environment, Food and Rural Affairs""",1
"""Fuller, Richard""","""Department for International Development""",2
"""Fuller, Richard""","""Department for Transport""",5
"""Fuller, Richard""","""Department for Work and Pensions""",7
"""Fuller, Richard""","""Foreign and Commonwealth Office""",1
"""Fuller, Richard""","""Home Office""",3
"""Fuller, Richard""","""Ministry of Justice""",1
"""Fuller, Richard""","""Treasury""",3
"""Fysh, Marcus""","""Department for Environment, Food and Rural Affairs""",1
"""Fysh, Marcus""","""Department for Transport""",1
"""Fysh, Marcus""","""Foreign and Commonwealth Office""",2
"""Fysh, Marcus""","""Ministry of Defence""",1
"""Fysh, Marcus""","""Treasury""",1
"""Gale, Roger""","""Department for Education""",1
"""Gale, Roger""","""Department for Environment, Food and Rural Affairs""",3
"""Gale, Roger""","""Department of Energy and Climate Change""",1
"""Gardiner, Barry""","""Cabinet Office""",2
"""Gardiner, Barry""","""Department for Business, Innovation and Skills""",1
"""Gardiner, Barry""","""Department for Environment, Food and Rural Affairs""",30
"""Gardiner, Barry""","""Department for International Development""",9
"""Gardiner, Barry""","""Department for Transport""",2
"""Gardiner, Barry""","""Department of Energy and Climate Change""",13
"""Gardiner, Barry""","""Department of Health""",1
"""Gardiner, Barry""","""Foreign and Commonwealth Office""",2
"""Gardiner, Barry""","""Home Office""",2
"""Gardiner, Barry""","""Treasury""",3
"""Garnier, Edward""","""Department of Health""",5
"""Garnier, Edward""","""Home Office""",1
"""Garnier, Edward""","""Ministry of Justice""",3
"""Garnier, Mark""","""Communities and Local Government""",7
"""Garnier, Mark""","""Department for Culture, Media and Sport""",1
"""Garnier, Mark""","""Department for Work and Pensions""",4
"""Garnier, Mark""","""Department of Health""",2
"""Garnier, Mark""","""Ministry of Defence""",1
"""Garnier, Mark""","""Treasury""",1
"""Gethins, Stephen""","""Cabinet Office; UK Statistics Authority""",1
"""Gethins, Stephen""","""Department for Business, Innovation and Skills""",3
"""Gethins, Stephen""","""Department for Culture, Media and Sport""",1
"""Gethins, Stephen""","""Department for Environment, Food and Rural Affairs""",2
"""Gethins, Stephen""","""Department for International Development""",25
"""Gethins, Stephen""","""Department for Work and Pensions""",3
"""Gethins, Stephen""","""Department of Energy and Climate Change""",3
"""Gethins, Stephen""","""Department of Health""",1
"""Gethins, Stephen""","""Foreign and Commonwealth Office""",21
"""Gethins, Stephen""","""Home Office""",3
"""Gethins, Stephen""","""Ministry of Defence""",5
"""Gethins, Stephen""","""Treasury""",2
"""Ghani, Nusrat""","""Cabinet Office; UK Statistics Authority""",1
"""Ghani, Nusrat""","""Communities and Local Government""",4
